JobTitle	NumDaysPosted	TimeFrame	TodayDate	CompanyName	JobLocation	LowSalaryRange	UpperSalaryRange	SalaryPeriod(per)	CompanyRating	JobSummary	JobUrl
Data Analyst M/F	30	jours	22-02-2021	Datawords	Levallois-Perret (92)				3.5	"Présentations et conférences en tant qu’expert data pour nos clients, déplacements à l’étranger occasionnels.
Être l’interlocuteur privilégié de nos clients sur…"	https://fr.indeed.com/rc/clk?jk=3bc553a684b5f26b&fccid=cd304444faef7894&vjs=3
DATA SCIENTIST COMPUTER VISION	30	jours	22-02-2021	Aquila Consulting	Paris (75)					"Ü Conception d’outils d’analyse et de data-visualisation.
À votre bagage technique (data mining et visualisation de données techniques, l'analyse graphique, l…"	https://fr.indeed.com/rc/clk?jk=9ab7122bd3968231&fccid=a4afddc5b7ad7ec2&vjs=3
Consultant DATA	30	jours	22-02-2021	Valuetis	Paris (75)					Pour accompagner son développement,Valuetis recrute un consultant décisionnel expérimenté, pour intervenir sur des projets business intelligence.	https://fr.indeed.com/company/AGYLIS/jobs/Data-Engineer-fec5c6457d0d8939?fccid=ba755be2fca96675&vjs=3
Un.e data scientist impliqué.e, consciencieux.se et teamplay...	30	jours	22-02-2021	AXILEO	Paris (75)					"Nous recherchons un.e data scientist impliqué.e, consciencieux.se et teamplayer !
De formation BAC +5 en informatique (ingénieur ou universitaire), vous…"	https://fr.indeed.com/rc/clk?jk=2af95d8c1a6d5636&fccid=3c43349a97cfd43a&vjs=3
Data Analyst - Produit (H/F)	30	jours	22-02-2021	Happn	Paris (75)					"Rejoins notre équipe data riche en compétences, vivante et éclectique qui regroupe data scientists, engineers, BI et analysts.
“It’s a crush !” si :"	https://fr.indeed.com/rc/clk?jk=2af95d8c1a6d5636&fccid=3c43349a97cfd43a&vjs=3
Gestionnaire de données référentielles produits F/H	30	jours	22-02-2021	Picard	Issy-les-Moulineaux (92)				3.9	"Simplicité, plaisir et innovation rythment le quotidien de nos 4 500 collaborateurs.
Nos équipes mettent tout en œuvre pour faciliter la vie de nos clients et…"	https://fr.indeed.com/rc/clk?jk=9ab7122bd3968231&fccid=a4afddc5b7ad7ec2&vjs=3
Data Scientist - F/H	30	jours	22-02-2021	Alter Way	Paris (75)					Titulaire d'un Master, vous disposez de 3 années d'expérience au minimum en développement Python et présentez un intérêt pour le domaine de la data et du…	https://fr.indeed.com/rc/clk?jk=9ab7122bd3968231&fccid=a4afddc5b7ad7ec2&vjs=3
Data Scientist	30	jours	22-02-2021	CAST Software	Paris (75)					"Une personne ayant des connaissances/expérience en data science et machine learning.
CAST est le leader du marché de la Software Intelligence."	https://fr.indeed.com/rc/clk?jk=4f1ab14136fc9d02&fccid=09e12974662898fb&vjs=3
Product Data Analyst	30	jours	22-02-2021	Skello	Paris (75)					Tu partageras ton savoir faire au sein de l'équipe Produit, et tu la feras monter en compétence sur l'univers de la data (analyse, modélisation..).	https://fr.indeed.com/rc/clk?jk=9ab7122bd3968231&fccid=a4afddc5b7ad7ec2&vjs=3
Jeune Docteur Data Scienc	30	jours	22-02-2021	JICAP-Performance	Paris (75)					Au croisement des expertises Achats, SI, Data scientist, notre Client développe des concepts permettant l’accélération des résultats des entreprises par la mise…	https://fr.indeed.com/company/AGYLIS/jobs/Data-Engineer-fec5c6457d0d8939?fccid=ba755be2fca96675&vjs=3
