wine_id,grape_id,grapes_share
3545,2,100.0
5052806,10,100.0
1658,10,45.0
1658,2,50.0
1658,3,5.0
87674,10,20.0
87674,16,15.0
87674,2,65.0
79265,10,0.0
79265,2,0.0
79265,3,0.0
79265,42,0.0
79265,9,0.0
1102121,10,100.0
1126954,10,100.0
79262,10,26.0
79262,2,71.0
1154913,2,100.0
82613,2,100.0
22549,12,100.0
86373,10,0.0
86373,2,0.0
86373,3,0.0
1369753,10,47.0
1369753,2,53.0
21123,92,100.0
1135736,1,15.0
1135736,22,15.0
1135736,76,5.0
1135736,8,65.0
68514,2,100.0
15167,31,100.0
1148035,10,0.0
1148035,2,0.0
1700690,10,0.0
1700690,2,0.0
1700690,3,0.0
1700690,42,0.0
23627,10,0.0
23627,2,0.0
23627,3,0.0
23627,42,0.0
2411943,16,100.0
1175557,5,100.0
1115658,10,30.0
1115658,2,58.0
1115658,3,6.0
1115658,42,6.0
1125543,10,0.0
1125543,2,0.0
1115658,10,0.0
1115658,2,0.0
1115658,3,0.0
1984446,10,38.0
1984446,2,62.0
80472,10,0.0
80472,2,0.0
80472,42,0.0
1161268,10,40.0
1161268,2,55.0
1161268,3,5.0
1186911,10,0.0
1186911,2,0.0
1186911,42,0.0
1658,10,20.0
1892,1,100.0
22685,2,100.0
25474,10,0.0
25474,2,0.0
25474,3,0.0
25474,42,0.0
25474,51,0.0
63094,10,40.0
63094,2,60.0
63804,15,100.0
1126958,17,100.0
73478,10,0.0
73478,2,0.0
73478,42,0.0
80080,9,100.0
79385,17,100.0
83520,10,38.0
83520,2,53.0
83520,3,7.0
83520,42,2.0
80472,10,22.0
80472,2,63.0
80472,3,12.0
80472,42,3.0
11009,5,100.0
11746,10,25.0
11746,16,50.0
11746,2,25.0
1166231,10,0.0
1166231,2,0.0
1166231,42,0.0
1176685,8,100.0
1137679,2,100.0
77444,31,100.0
1186911,10,100.0
1100988,10,50.0
1100988,2,45.0
1100988,3,5.0
97051,10,0.0
97051,2,0.0
97051,3,0.0
2038572,10,24.0
2038572,2,70.0
2038572,3,6.0
1126243,17,100.0
22685,10,21.0
22685,2,77.0
22685,3,2.0
779475,2,100.0
1835,43,80.0
1835,45,20.0
23769,10,0.0
23769,2,0.0
23769,3,0.0
1141447,43,80.0
1141447,45,20.0
6065382,1,10.0
6065382,22,10.0
6065382,8,80.0
1268,2,0.0
85917,2,100.0
79762,10,18.0
79762,2,82.0
1179350,1,100.0
97051,42,0.0
1134803,8,100.0
9709,16,100.0
779425,10,5.0
779425,16,60.0
779425,2,30.0
1179603,10,0.0
1179603,2,0.0
1268,1,97.0
1268,2,3.0
7768,1,0.0
7768,22,0.0
7768,8,0.0
78014,17,100.0
85917,10,0.0
85917,2,0.0
85917,3,0.0
85917,42,0.0
1129305,10,0.0
1129305,42,0.0
1125543,10,35.0
1125543,2,45.0
1125543,3,12.0
1125543,42,8.0
1507069,2,95.0
1507069,25,5.0
83380,10,31.0
83380,2,60.0
83380,42,9.0
2411285,16,90.0
2411285,260,0.0
2411285,64,0.0
8195,226,45.0
8195,271,45.0
1153630,2,100.0
80045,10,55.0
80045,2,40.0
80045,42,5.0
1148035,10,22.0
1148035,2,78.0
1148035,3,0.0
79266,10,50.0
79266,2,45.0
79266,42,5.0
79265,2,100.0
13759,10,19.0
13759,2,30.0
13759,3,5.0
13759,51,46.0
2504090,14,100.0
1152896,8,100.0
736114,10,0.0
736114,2,0.0
736114,42,0.0
80456,10,0.0
80456,2,0.0
80456,42,0.0
80472,3,0.0
79762,2,67.0
5093,102,100.0
1129305,2,0.0
