id,score_normalized,reviewed_at,vintage_id
3485211,89,2019-04-30T00:00:00Z,150994089
2949523,90,2018-04-27T00:00:00Z,4386408
3012869,90,2017-10-01T00:00:00Z,4386408
3123497,94,2018-08-31T00:00:00Z,15652660
1698121,93,2017-10-31T00:00:00Z,14440756
1964311,96,2017-10-05T00:00:00Z,14440756
3187875,94,2017-09-29T00:00:00Z,14440756
1697546,92,2017-10-31T00:00:00Z,87112774
3323682,93,2018-12-13T00:00:00Z,87112774
3506884,94,2020-05-27T00:00:00Z,87112774
3506886,94,2020-05-27T00:00:00Z,87112774
3224573,91,2018-10-04T00:00:00Z,86033798
3299967,92,2018-10-04T00:00:00Z,86033798
3516373,95,2019-07-15T00:00:00Z,86033798
3493930,91,2019-05-31T00:00:00Z,113275218
229296,93,2010-04-27T00:00:00Z,1417831
1369662,92,2010-08-26T00:00:00Z,1417831
2506207,88,2012-03-01T00:00:00Z,1417831
2542913,92,2013-03-01T00:00:00Z,1417831
2542914,90,2010-03-01T00:00:00Z,1417831
2839897,88,2010-06-01T00:00:00Z,1417831
3169730,96,2012-11-12T00:00:00Z,1417831
1919046,94,2005-04-29T00:00:00Z,88769
2833831,90,2005-06-01T00:00:00Z,88769
2838545,90,2007-03-01T00:00:00Z,88769
203987,96,2015-10-30T00:00:00Z,3423594
1545506,92,2016-07-19T00:00:00Z,3423594
1979552,93,2016-04-19T00:00:00Z,3423594
3169638,97,2016-04-19T00:00:00Z,3423594
3018878,90,2018-04-01T00:00:00Z,141201592
1365778,91,2012-04-13T00:00:00Z,2078573
2543557,90,2016-02-01T00:00:00Z,2078573
2543558,87,2012-04-01T00:00:00Z,2078573
2663057,91,2012-04-26T00:00:00Z,2078573
182207,92,2015-10-30T00:00:00Z,1490656
1606874,88,2015-07-31T00:00:00Z,1490656
3022997,88,2016-04-01T00:00:00Z,1490656
3169469,89,2016-04-19T00:00:00Z,1490656
3498351,91,2019-08-30T00:00:00Z,156099390
3502695,91,2019-09-11T00:00:00Z,156099390
3502696,93,2019-09-11T00:00:00Z,156099390
3502697,92,2019-09-11T00:00:00Z,156099390
3502734,94,2019-09-13T00:00:00Z,156099390
