vintage_id,name,certified_biodynamic,wine_id,wine_name,type,is_natural,region_id,country,winery_id,rank_percentile_country,rank_percentile_region,rank_percentile_winery,rank_percentile_wine_type,rank_percentile_global,wine_description,alcohol,appelation_id,body_id,acidity_id,awards_number,awards_bronze_number,awards_silver_number,awards_gold_number,awards_excellent_number,awards_platinum_number,awards_remarkable_number,awards_commended_number,ratings_distribution_1,ratings_distribution_2,ratings_distribution_3,ratings_distribution_4,ratings_distribution_5,vintage_rank_percentile_country,vintage_rank_percentile_region,vintage_rank_percentile_winery,vintage_rank_percentile_global,contains_added_sulfites,contains_milk_allergens,contains_egg_allergens,closure,year,median_price
14317603,Tommasi Amarone della Valpolicella Classico 2015,,7103,Amarone della Valpolicella Classico,Red,False,3237,Italie,1653,0.26,1.29,4.4,0.41,0.27,"Deep ruby red color with garnet shades. Warm, ripe on the nose, intense and of great refinement. The taste is complex, smooth, full bodied, lots of cherry notes and plum.",15.0,3,5,3,0,0,0,0,0,0,0,0,29,41,525,3581,1502,0.41,1.48,2.46,0.41,True,False,True,,2015,50.0
156275127,Torres Viña Esmeralda 2018,False,2628,Viña Esmeralda,White,False,1783,Espagne,6812,2.98,2.31,8.84,1.91,2.92,"Fragrant and floral (lime blossom, acacia honey) with notes of fresh fruit (Muscat grape, citrus)
and tropical passion fruit. Sensual and silky on the palate, framed by seductive, delicate acidity
(pink grapefruit).",11.5,,,,0,0,0,0,0,0,0,0,52,168,1445,2848,945,2.3,1.64,4.99,2.62,True,False,False,cork,2018,12.08
14513009,Marqués de Murrieta Reserva Rioja (Finca Ygay) 2015,False,10998,Reserva Rioja (Finca Ygay),Red,False,492,Espagne,1864,1.54,2.42,29.17,2.25,1.64,"Ripe fruit with a perfect balance of acidity, supple roundness on the palate and a hint of new oak. It exhibits a dense, bright cherry color. Appealing, big and spicy nose. Outstanding aromatic cherry and red fruit, mineral smoke and subtle oak notes. On the palace it reveals fleshy fruit, silky tannins, and subtle, spicy oak. Beautiful texture and balance.",14.0,190,4,3,0,0,0,0,0,0,0,0,20,56,811,3790,756,1.31,1.74,12.41,1.52,True,False,False,,2015,24.35
14242522,Antinori Villa Antinori Chianti Classico Riserva 2015,False,1143960,Villa Antinori Chianti Classico Riserva,Red,False,1798,Italie,1252,3.09,4.9,42.11,3.29,2.49,"Marchesi Antinori’s passion for viticulture is expressed through perseverance: their continuous pursuit for quality improvement, even in the smallest details. Research and development is an ongoing process both in the vineyards and in the cellars: selecting new clones of local and international varieties: experimenting with new techniques in the vineyards and vineyard altitudes, new approaches to fermentation and temperature control, experimenting with both traditional and innovative winemaking philosophies, using new types of oak for barrels, barrel size and age, and varying length of aging in the bottle before commercial release.",13.5,69,3,3,0,0,0,0,0,0,0,0,27,68,1032,3338,534,2.92,4.77,22.0,2.62,True,False,False,,2015,26.0
5620568,La Rioja Alta Viña Ardanza Selección Especial 2010,False,1302651,Viña Ardanza Selección Especial,Red,False,492,Espagne,2268,0.39,0.61,19.35,0.66,0.44,"Outstanding dark-cherry red; intense, bright and clean. The first impression on the nose is of great freshness provided by notes of cherries and blackcurrants knit with notes of black pepper, tobacco, nutmeg, coffee, caramel and vanilla from barrel ageing. Tasty, with a soft freshness, nice structure, balanced acidity and fine, elegant tannins. Silky finish, with a lovely aftertaste, where liqueur-like notes of blackcurrants intermingle with toasty notes and sweet spices.",13.5,190,4,3,0,0,0,0,0,0,0,0,17,36,470,3567,1034,0.35,0.42,3.98,0.41,True,False,False,,2010,33.33
14763417,Tenuta San Guido Le Difese 2015,,5076,Le Difese,Red,False,394,Italie,1413,7.02,9.64,100.0,6.96,5.62,,13.0,292,3,2,0,0,0,0,0,0,0,0,46,176,1888,2157,304,9.59,12.75,55.37,8.76,True,,,,2015,25.9
14211755,Antinori Tenuta Tignanello 'Marchese Antinori' Chianti Classico Riserva 2015,False,1654,Tenuta Tignanello 'Marchese Antinori' Chianti Classico Riserva,Red,False,1798,Italie,1252,1.65,2.92,31.58,1.88,1.35,"Marchesi Antinori’s passion for viticulture is expressed through perseverance: their continuous pursuit for quality improvement, even in the smallest details. Research and development is an ongoing process both in the vineyards and in the cellars: selecting new clones of local and international varieties: experimenting with new techniques in the vineyards and vineyard altitudes, new approaches to fermentation and temperature control, experimenting with both traditional and innovative winemaking philosophies, using new types of oak for barrels, barrel size and age, and varying length of aging in the bottle before commercial release.",13.5,69,3,3,0,0,0,0,0,0,0,0,16,32,537,3180,825,0.88,1.65,13.86,0.82,True,False,False,,2015,43.63
2851231,Ornellaia Le Serre Nuove 2013,,22448,Le Serre Nuove,Red,False,673,Italie,7941,0.62,37.04,40.0,0.82,0.56,"Deeply colored, it presents warm red berry fruit, coca, and spice aromas. On the palate it's ample and round, with perfectly ripe, well polished tannins and rich fruit supported by perfectly balanced acidity.",14.5,9,4,3,0,0,0,0,0,0,0,0,21,42,521,3038,786,0.88,22.65,23.08,0.82,True,False,False,,2013,46.67
15768459,Emilio Moro Malleolus 2015,False,11604,Malleolus,Red,False,405,Espagne,1757,0.42,2.59,45.45,0.69,0.47,"Color ripe cherry, background covered with thin layer garnet rim. The nose is a very intense black fruit wine which dominates jam, balsamic and aromatic woods. Equally stand spicy aromas of cloves and coffee, clay minerals touches. The palate is powerful and concentrated great balance. Retronasal appear again spicy, black fruit and aromatic woods. The palate is velvety and excellent integration between fruit and wood.",14.5,180,5,3,0,0,0,0,0,0,0,0,15,27,415,3026,919,0.35,2.18,15.2,0.41,True,,,cork,2015,34.17
92316257,Tenuta San Guido Le Difese 2016,False,5076,Le Difese,Red,False,394,Italie,1413,7.02,9.64,100.0,6.96,5.62,,13.5,292,3,2,0,0,0,0,0,0,0,0,33,121,1607,2314,356,6.76,9.51,49.72,6.18,True,False,False,cork,2016,24.9
17164789,Torres Gran Coronas Reserva Cabernet Sauvignon 2014,False,3129085,Gran Coronas Reserva Cabernet Sauvignon,Red,False,631,Espagne,6812,6.45,6.63,19.05,7.06,5.71,"Opaque cherry red wine. Fruity (jammy strawberry and raspberry) with lovely spicy (black pepper) and balsamic notes. Intense, deep, with very ripe, velvety tannins from aging in wood (toasted oak).",14.0,39,4,3,0,0,0,0,0,0,0,0,24,122,1557,2289,363,5.66,4.96,9.83,6.18,True,False,False,cork,2014,16.46
156243885,Marqués de Riscal Blanco (Verdejo) 2018,False,1716434,Blanco (Verdejo),White,False,1729,Espagne,1837,8.94,12.03,46.88,5.91,7.52,"A bright, straw-yellow coloured wine. On the nose it has high aromatic intensity with tropical fruit and hints of fennel and fresh grass. In the mouth it is both syrupy smooth and refreshing, with a slightly bitter finish which is typical of the variety making it long and pleasant to drink. Overall it is a fresh, well-balanced wine.",12.6,237,3,3,0,0,0,0,0,0,0,0,37,165,1748,1977,337,8.32,10.29,23.09,8.77,True,False,False,screw,2018,9.75
86787179,Marqués de Riscal Blanco (Verdejo) 2016,,1716434,Blanco (Verdejo),White,False,1729,Espagne,1837,8.94,12.03,46.88,5.91,7.52,"A bright, straw-yellow coloured wine. On the nose it has high aromatic intensity with tropical fruit and hints of fennel and fresh grass. In the mouth it is both syrupy smooth and refreshing, with a slightly bitter finish which is typical of the variety making it long and pleasant to drink. Overall it is a fresh, well-balanced wine.",12.6,237,3,3,0,0,0,0,0,0,0,0,40,220,2000,1656,273,11.56,13.95,27.24,11.75,True,False,False,,2016,9.28
156301119,Antinori Villa Antinori Toscana Bianco 2018,False,59894,Villa Antinori Toscana Bianco,White,False,394,Italie,1252,5.93,8.37,55.26,3.49,4.75,"Marchesi Antinori’s passion for viticulture is expressed through perseverance: their continuous pursuit for quality improvement, even in the smallest details. Research and development is an ongoing process both in the vineyards and in the cellars: selecting new clones of local and international varieties: experimenting with new techniques in the vineyards and vineyard altitudes, new approaches to fermentation and temperature control, experimenting with both traditional and innovative winemaking philosophies, using new types of oak for barrels, barrel size and age, and varying length of aging in the bottle before commercial release.",12.0,48,3,3,0,0,0,0,0,0,0,0,25,104,1208,2269,610,4.55,6.88,28.09,4.12,True,False,False,,2018,15.29
1920864,Antinori Tenuta Tignanello 'Marchese Antinori' Chianti Classico Riserva 2011,,1654,Tenuta Tignanello 'Marchese Antinori' Chianti Classico Riserva,Red,False,1798,Italie,1252,1.65,2.92,31.58,1.88,1.35,"Marchesi Antinori’s passion for viticulture is expressed through perseverance: their continuous pursuit for quality improvement, even in the smallest details. Research and development is an ongoing process both in the vineyards and in the cellars: selecting new clones of local and international varieties: experimenting with new techniques in the vineyards and vineyard altitudes, new approaches to fermentation and temperature control, experimenting with both traditional and innovative winemaking philosophies, using new types of oak for barrels, barrel size and age, and varying length of aging in the bottle before commercial release.",13.5,69,3,3,0,0,0,0,0,0,0,0,27,47,741,2700,569,2.92,4.78,22.19,2.62,,,,,2011,37.92
156114360,Cloudy Bay Sauvignon Blanc 2018,,18978,Sauvignon Blanc,White,False,732,Nouvelle-Zélande,1675,0.74,0.73,12.5,0.53,1.05,"Scented and summery, the Cloudy Bay Sauvignon Blanc has deliciously vibrant aromatics that infuse the tropical fragrance of fresh passion fruit and juicy pineapples with garden-fresh basil and the spiciness of crushed tomato leaves. The palate is long and succulent, combining exotic fruits with ripe, red capsicum and a twist of green olive beautifully complemented by crisp natural acidity and a hint of lime zest.",13.5,202,2,3,0,0,0,0,0,0,0,0,26,61,733,2589,674,0.99,0.92,8.5,1.52,True,True,True,,2018,29.9
1719364,Fattoria dei Barbi Brunello di Montalcino 2012,,54214,Brunello di Montalcino,Red,False,1796,Italie,1886,0.97,1.78,18.18,1.17,0.81,"A lively rich ruby announces an equally appealing complexity in the bouquet, which has the classic essences of red berries, complemented by delicate nuances of oak and liquorice. On the palate this wine is warm and ample; showing a well integrated balance of tannins and acidity, a great structure and long, persistent finish.",14.0,22,5,3,1,0,1,0,0,0,0,0,22,73,584,2635,744,1.7,3.03,10.7,1.52,True,,,,2012,50.0
91266628,E. Guigal Côtes-du-Rhône Rouge 2016,False,7773,Côtes-du-Rhône Rouge,Red,False,429,France,1314,8.85,20.51,73.53,10.09,8.34,"Deep and dark red. Shiny. Fresh fruits with red berries and spices. Full, round and racy. Rounded and smooth tannins. A full-bodied, rich and intensly aromatic wine. Full with a long finish and plenty of elegance and finesse due to the well balanced tannins and fruit.",13.0,212,4,3,0,0,0,0,0,0,0,0,34,154,1884,1916,231,8.41,17.59,37.56,8.77,True,False,False,cork,2016,8.56
4176483,Tenuta San Guido Le Difese 2014,,5076,Le Difese,Red,False,394,Italie,1413,7.02,9.64,100.0,6.96,5.62,,13.0,292,3,2,0,0,0,0,0,0,0,0,56,187,1882,1594,241,12.89,16.29,59.32,11.75,True,,,cork,2014,29.0
14897931,Muga Reserva 2015,False,1849316,Reserva,Red,False,492,Espagne,1467,1.94,3.02,33.33,2.7,2.0,"It has a fresh mouth-feel, almost giving the impression of having mentholated nuances, with a presence of acidic fruit liqueur. It can seem quite a strange combination. In the retronasal phase it is totally spicy and leaves new hints of liqueur fruit at a second level, but this time much more complex in character.",14.0,190,4,3,0,0,0,0,0,0,0,0,15,46,688,2782,477,1.32,1.76,12.11,1.52,True,False,True,cork,2015,23.33
150314124,Cantina Zaccagnini Montepulciano d'Abruzzo (Il Vino dal Tralcetto Riserva) 2017,,1633194,Montepulciano d'Abruzzo (Il Vino dal Tralcetto Riserva),Red,False,2734,Italie,3305,5.1,3.04,12.0,5.22,4.12,"It has intense ruby red colour with violet nuances; intense, characteristic bouquet of the primary
grape aromas; fruity component, full-bodied and robust, well-balanced with tannin and oak features.",13.0,122,3,3,0,0,0,0,0,0,0,0,27,154,1456,1996,463,6.76,4.27,9.62,6.18,True,False,False,,2017,11.5
99339024,Ogier Clos de l'Oratoire des Papes Châteauneuf-du-Pape 2016,,779452,Clos de l'Oratoire des Papes Châteauneuf-du-Pape,Red,False,401,France,6483,0.76,5.16,1.31,1.26,0.88,,14.5,301,5,2,0,0,0,0,0,0,0,0,27,41,400,2649,826,0.65,2.77,0.53,0.82,True,False,False,,2016,39.0
4506651,Banfi Brunello di Montalcino 2014,,22917,Brunello di Montalcino,Red,False,1796,Italie,7967,0.72,1.37,3.81,0.92,0.63,"Colour: intense ruby red with garnet reflections.
Bouquet: ethereal, wide, light vanilla.
Taste: full, soft, velvety and intense, with sensations of liquorice, spices and light
goudron note.",13.8,22,5,3,0,0,0,0,0,0,0,0,23,54,533,2565,826,0.88,1.66,3.38,0.82,True,True,True,,2014,45.0
150365608,Torres Sangre de Toro 2017,False,1385210,Sangre de Toro,Red,False,1783,Espagne,6812,14.44,16.04,42.18,13.56,11.36,Deep ruby colour with a hint of ochre. Rich complex Mediterranean aromas with exuberant notes of spices and blackberries. Velvety tannins are noted on the palate with elegant flavours of liquorice and small dark forest fruits ,13.5,176,4,3,0,0,0,0,0,0,0,0,90,300,2044,1136,253,15.34,14.99,23.57,15.07,True,False,False,cork,2017,11.42
4454098,Ornellaia Le Serre Nuove 2014,,22448,Le Serre Nuove,Red,False,673,Italie,7941,0.62,37.04,40.0,0.82,0.56,"Deeply colored, it presents warm red berry fruit, coca, and spice aromas. On the palate it's ample and round, with perfectly ripe, well polished tannins and rich fruit supported by perfectly balanced acidity.",13.5,9,4,3,0,0,0,0,0,0,0,0,17,31,439,2485,623,0.88,23.09,23.63,0.82,True,False,False,,2014,45.83
6185296,Protos Crianza 2014,False,1135271,Crianza,Red,False,405,Espagne,4848,3.68,5.6,40.0,4.55,3.53,"Aged 14 months in French and American barrels, and another 12 months in bottle; this wine comes from over 40 year old vineyards spread over different parts of Ribera del Duero, creating a perfect blend of different aromas and tastes.",14.0,180,5,3,2,1,1,0,0,0,0,0,14,70,954,2149,353,3.71,5.67,15.96,4.12,True,False,False,cork,2014,27.9
14516822,Cune (CVNE) Reserva 2015,,49644,Reserva,Red,False,492,Espagne,215090,5.32,7.55,5.08,6.05,4.84,,13.6,190,4,3,0,0,0,0,0,0,0,0,22,92,1230,1934,331,5.67,7.21,5.52,6.19,True,True,True,,2015,12.5
