id,name,url,payments
525,Chateau.com,https://www.chateau.fr/content/cgv,"['card_payments', 'platform_payments']"
27522,My Vitibox,,[]
2096,Qualivino,,[]
3095,Porthos Wines,,[]
4317,Weinhaus Gallier,,[]
4825,World Grands Crus,,[]
7247,Henner Marchand de Vin,,[]
7490,Olivier Leflaive,,[]
22742,Le Chai,,[]
1806,Wineshop.it,,[]
577,Caves-Direct.com,,[]
3747,Chateau La Tour de By,,[]
22760,Le Chai de l'Adour,https://www.lechaideladour.com/content/3-conditions-generales-de-ventes,"['card_payments', 'platform_payments']"
22822,Les Caves Adam,,[]
2248,Verygood.fr,,[]
5650,Nobles Crus,,[]
13290,Cercle de Martillac,,[]
22727,GRM Vins,,[]
28763,Vinobordo,,[]
3550,SARL Andre Claude,,[]
28333,Vinsolite,,[]
2559,Toulouvin,,[]
23200,Chateau Reysson,,[]
8472,Mein Wein,,[]
22855,Les Caves Lamottoises,,[]
22454,CVFwine.com,,[]
3422,Bordeaux Caracteres,,[]
27792,Les Tannins,,[]
3487,Le Vin Devant Soi,https://www.levindevantsoi.com/conditions-generales-de-vente/,"['card_payments', 'legacy_payments', 'platform_payments']"
22240,De Vignes En Vin,,[]
3371,Cave Gustumo,http://www.cave-gustumo.com/fr/conditions-generales-de-vente.html,"['card_payments', 'cartes_bancaires_payments', 'platform_payments']"
11882,M. Chapoutier,,[]
22880,Sommellerie de France,,[]
24756,Bouquet Brands,,[]
24061,Oltrevino.it,,[]
29588,The Best Vintage,,[]
2705,Expressions-Fermieres.com,,[]
26243,"Normandie Wine Warehouse, Ouistreham",,[]
22225,23Vins.com,,[]
22751,La Cave des Plaisirs Gourmands,https://lacavedesplaisirsgourmands.fr/content/3-conditions-generales-de-ventes,"['card_payments', 'cartes_bancaires_payments', 'platform_payments']"
28035,Lidl-vins.fr,,[]
3412,Athenaeum de la Vigne et du Vin,,[]
6184,Wijnhuis Jeuris,,[]
23454,The Portugal Collection,,[]
29923,Le Vin du Moment,,[]
3009,Mon Millesime,,[]
22998,Wine & Bee,,[]
16967,Invinio,,[]
11723,Vini Mediterranee,,[]
2856,La Cave du Senat,,[]
15752,Vino Iberico,,[]
22975,Vins2Bourgogne,,[]
22241,Beaujoloire,,[]
16316,Cave Vinea,,[]
2750,Aux Saveurs de La Tonnelle,,[]
6957,TG Vins (Belgium),,[]
3295,Ardoneo Wines,https://www.vin-bio-ardoneo.com/PBCPPlayer.asp?ID=2057557,"['card_payments', 'platform_payments']"
29752,acowine | all colors of wine,,[]
22774,La Bonne Bouteille France,,[]
8351,Weinhalt am Weberberg,,[]
1903,La Terra Madre,,[]
1525,Terroirs du Monde,,[]
27810,Vinibee,,[]
3638,Clos de Bourgogne,,[]
8325,VinNaturel.fr,,[]
5883,Pepites De Loire,,[]
606,La Vallee des Vins,,[]
29068,Oenothèque Gérard Bertrand,https://en.gerard-bertrand.com/pages/conditions-generales-dutilisation,"['card_payments', 'legacy_payments', 'platform_payments']"
23300,Les Caves de La Tour d'Argent,,[]
4134,Monsieur Vin,,[]
3358,Maison Denis Perret,,[]
29870,Monsieur Lemaire,,[]
4608,Dieckmann's Weins,,[]
22755,Graves La Vinotheque,,[]
22234,Cave de L'Estuaire,,[]
341,Planete Bordeaux,,[]
26751,LA CAVE DES TUILERIES,,[]
22997,Cave Vins sur Vins,,[]
4501,Libanus,,[]
22255,Boutique Ambre,,[]
22745,Le Gourmet du Net,,[]
634,Dobre Wino,,[]
6217,Sourire des Saveurs,https://souriredessaveurs.com/fr/content/3-conditions-generales-de-ventes ,['legacy_payments']
6012,Plugwine Distribution,,"['card_payments', 'platform_payments']"
19105,Wine & More Croatia,,[]
