,Symbol,Stock Name,Country,Market Price,Day Price Range,PE Ratio,marketCap,Dividend Yield,52 Week Low Price Range Change,52 Week High Price Range Change,3 Month Average Daily Volume,52 Week Price Range,priceEpsCurrentYear
15,0U95.L,,gb_market,43.94,43.29 - 43.94,11.324741,,0.014512472,0.015014961,0.0,,43.29 - 43.94,
16,9063.T,,jp_market,2535.0,2535.0 - 2535.0,6.2284245,5139307008,0.027613413,0.26119402,-0.12796697,932,2010.0 - 2907.0,
17,HCM.F,,dr_market,25.0,25.0 - 25.0,9.048136,5367775232,0.0334,0.5723271,-0.19354838,30,15.9 - 31.0,
18,MKY.F,,dr_market,7.1,7.1 - 7.1,58.677685,6416568320,0.23277779,0.23478259,-0.27551022,2256,5.75 - 9.8,
19,MGC.F,,dr_market,10.1,10.1 - 10.1,7.4814816,3547776512,0.023076924,1.1129707,-0.16528925,55,4.78 - 12.1,
20,M4M1.HM,,dr_market,28.6,28.6 - 28.6,,3103872256,0.034013607,0.63428575,-0.29901958,6,17.5 - 40.8,
21,WIB.F,,dr_market,28.24,28.18 - 28.24,36.86684,3170391808,0.021156559,1.428203,-0.044008162,532,11.63 - 29.54,
22,1OY.SG,,dr_market,25.0,24.6 - 25.2,14.749262,2198704896,0.031230157,0.376652,-0.08759123,10,18.16 - 27.4,
23,7CH.SG,,dr_market,4.7,4.7 - 4.7,41.22807,2128315008,0.047071125,0.525974,-0.087378696,6,3.08 - 5.15,
24,4752.T,,jp_market,760.0,750.0 - 762.0,9.832969,3362870784,,0.33099824,-0.05,1751,571.0 - 800.0,
0,HCXLF,,us_market,13.2,13.2 - 13.2,,4002240000,0.0,0.64179105,-0.23121725,1110,8.04 - 17.17,
1,QBCRF,Quebecor,us_market,25.46,25.36 - 25.46,24.457253,6354485248,0.0048818896,0.366613,-0.052122172,2713,18.63 - 26.86,
2,9636.T,,jp_market,2967.0,2967.0 - 2970.0,111.860954,8274102784,0.0067340066,0.16811024,-0.10900901,830,2540.0 - 3330.0,
3,4GF.F,,dr_market,2.12,2.1 - 2.14,9.177488,4780345344,0.021100916,0.38562086,-0.31612906,174,1.53 - 3.1,
4,1ZZ.F,,dr_market,0.476,0.476 - 0.476,,2157146368,,0.04845818,-0.10188673,12,0.454 - 0.53,
5,BSI.F,,dr_market,64.78,63.32 - 64.9,41.847546,4684280832,0.01615483,2.1523116,-0.03572494,90,20.55 - 67.18,
6,C2X.F,,dr_market,9.1,9.1 - 9.15,60.264908,9421321216,,2.0536914,-0.061855614,319,2.98 - 9.7,
7,OBI.MU,,dr_market,50.4,50.4 - 50.4,,3812367104,,0.67525357,-0.1487924,0,30.085 - 59.21,
8,UEPEN,,us_market,90.25,90.25 - 90.25,21.99074,9216691200,,0.06931277,-0.059797876,138,84.4 - 95.99,
9,P9O.F,,dr_market,6.604,6.604 - 6.604,7.3541203,8493998592,0.025939176,0.69725007,-0.17449999,90,3.891 - 8.0,
10,9AM1.F,,dr_market,4.78,4.72 - 4.78,,2474147328,,0.012711954,-0.41349688,0,4.72 - 8.15,
11,0R35.L,,gb_market,20.83,20.83 - 20.86,,8256719872,0.003874092,0.0,-0.001438192,,20.83 - 20.86,
12,8540.F,,jp_market,2367.0,2367.0 - 2367.0,36.694263,6410214912,0.02124947,0.10504202,-0.31786743,618,2142.0 - 3470.0,
13,6248.T,,jp_market,1203.0,1185.0 - 1200.0,11.439929,2253676032,,0.44071856,-0.02983871,2418,835.0 - 1240.0,
