backmarketid,price,stockraw,pressurestocklimit,warranty,slug,state_value,state_label,title,price_new,merchant_slug,objectid,brand,warranty,size,storage,memory,model,processor_speed,processor_type,storage_type,date_release,keyboard_type_language,highlightresult_title_value
79955,375.0,136,20,12,hp-probook-640-g1-14-core-i5-31-ghz-ssd-240-go-8-go-azerty-francais-pas-cher/79955.html#?l=3,3,État correct,"HP Probook 640 G1 14"" Core i5 3,1 GHz  - SSD 240 Go - 8 Go AZERTY - Français",599.0,hp-probook-640-g1-14-core-i5-31-ghz-ssd-240-go-8-go-azerty-francais-pas-cher/boutique-26/79955.html,899577,HP,12.0,14,240,8,Probook 640 G1,"3,1",Intel Core i5,SSD,,AZERTY - Français,"HP Probook 640 G1 14"" Core i5 3,1 GHz  - SSD 240 Go - 8 Go AZERTY - Français"
98051,449.0,5,20,12,hp-elitebook-820-g1-12-core-i5-19-ghz-ssd-128-go-8-go-azerty-francais-pas-cher/98051.html#?l=1,1,Très bon état,"Hp EliteBook 820 G1 12"" Core i5 1,9 GHz  - SSD 128 Go - 8 Go AZERTY - Français",799.0,hp-elitebook-820-g1-12-core-i5-19-ghz-ssd-128-go-8-go-azerty-francais-pas-cher/boutique-6549/98051.html,1361294,HP,12.0,"12,5",128,8,EliteBook 820 G1,"1,9",Intel Core i5,SSD,2013,AZERTY - Français,"Hp EliteBook 820 G1 12"" Core i5 1,9 GHz  - SSD 128 Go - 8 Go AZERTY - Français"
231422,569.0,3,20,12,dell-latitude-e5570-15-core-i5-24-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/231422.html#?l=2,2,Bon état,"Dell Latitude E5570 15"" Core i5 2,4 GHz  - SSD 256 Go - 8 Go AZERTY - Français",1980.0,dell-latitude-e5570-15-core-i5-24-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/boutique-3013/231422.html,1352497,Dell,12.0,"15,6",256,8,Latitude E5570,"2,4",Intel Core i5,SSD,2016,AZERTY - Français,"Dell Latitude E5570 15"" Core i5 2,4 GHz  - SSD 256 Go - 8 Go AZERTY - Français"
50679,675.0,5,20,12,imac-21-fin-2013-core-i5-27-ghz-hdd-1-to-8-go-azerty-francais-pas-cher/50679.html#?l=3,3,État correct,"iMac 21""   (Fin 2013) Core i5 2,7 GHz  - HDD 1 To - 8 Go AZERTY - Français",1299.0,imac-21-fin-2013-core-i5-27-ghz-hdd-1-to-8-go-azerty-francais-pas-cher/boutique-4/50679.html,1243342,Apple,12.0,"21,5",1000,8,iMac,"2,7",Intel Core i5,HDD,Fin 2013,AZERTY - Français,"iMac 21""   (Fin 2013) Core i5 2,7 GHz  - HDD 1 To - 8 Go AZERTY - Français"
307221,719.0,40,20,24,mac-mini-octobre-2018-core-i3-36-ghz-ssd-128-go-8go-pas-cher/307221.html#?l=0,0,Comme neuf,"Mac Mini (Octobre 2018) Core i3 3,6 GHz - SSD 128 Go - 8Go",899.0,mac-mini-octobre-2018-core-i3-36-ghz-ssd-128-go-8go-pas-cher/boutique-1853/307221.html,1211725,Apple,24.0,,128,8,Mac Mini,"3,6",Intel Core i3,SSD,Octobre 2018,,"Mac Mini (Octobre 2018) Core i3 3,6 GHz - SSD 128 Go - 8Go"
260634,165.0,2,20,12,dell-optiplex-3020-sff-core-i3-4160-36-ghz-hdd-500-go-ram-4-go-pas-cher/260634.html#?l=2,2,Bon état,"Dell Optiplex 3020 SFF Core i3-4160 3,6 GHz - HDD 500 Go RAM 4 Go",499.0,dell-optiplex-3020-sff-core-i3-4160-36-ghz-hdd-500-go-ram-4-go-pas-cher/boutique-82/260634.html,1161197,,,,,,,,,,,,"Dell Optiplex 3020 SFF Core i3-4160 3,6 GHz - HDD 500 Go RAM 4 Go"
333364,249.0,31,20,12,asus-vivobook-e402ya-ga002ts-14-e-series-15-ghz-hdd-64-go-4-go-azerty-francais-pas-cher/333364.html#?l=0,0,Comme neuf,"Asus VivoBook E402YA-GA002TS 14"" E-Series 1,5 GHz  - HDD 64 Go - 4 Go AZERTY - Français",299.0,asus-vivobook-e402ya-ga002ts-14-e-series-15-ghz-hdd-64-go-4-go-azerty-francais-pas-cher/boutique-192/333364.html,854591,Asus,12.0,14,64,4,VivoBook E402YA-GA002TS,"1,5",Autre,eMMC,,AZERTY - Français,"Asus VivoBook E402YA-GA002TS 14"" E-Series 1,5 GHz  - HDD 64 Go - 4 Go AZERTY - Français"
348074,399.0,5,20,12,lenovo-thinkpad-x260-12-core-i5-23-ghz-hdd-500-go-8-go-azerty-francais-pas-cher/348074.html#?l=4,4,Stallone,"Lenovo ThinkPad X260 12"" Core i5 2,3 GHz - HDD 500 Go - 8 Go AZERTY - Français",899.0,lenovo-thinkpad-x260-12-core-i5-23-ghz-hdd-500-go-8-go-azerty-francais-pas-cher/boutique-26/348074.html,1061999,Lenovo,12.0,"12,5",500,8,ThinkPad X260,"2,3",Intel Core i5,HDD,2016,AZERTY - Français,"Lenovo ThinkPad X260 12"" Core i5 2,3 GHz - HDD 500 Go - 8 Go AZERTY - Français"
11414,241.0,197,20,12,hp-compaq-elite-8300-sff-22-core-i5-32-ghz-hdd-500-go-8-go-azerty-pas-cher/11414.html#?l=2,2,Bon état,"Hp Compaq Elite 8300 SFF 22"" Core i5 3,2 GHz  - HDD 500 Go - 8 Go AZERTY",996.0,hp-compaq-elite-8300-sff-22-core-i5-32-ghz-hdd-500-go-8-go-azerty-pas-cher/boutique-26/11414.html,208040,HP,12.0,22,500,8,Compaq Elite 8300 SFF,"3,2",Intel Core i5,HDD,,,"Hp Compaq Elite 8300 SFF 22"" Core i5 3,2 GHz  - HDD 500 Go - 8 Go AZERTY"
393168,415.0,1,20,12,dell-latitude-e5470-14-core-i5-24-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/393168.html#?l=3,3,État correct,"Dell Latitude E5470 14"" Core i5 2,4 GHz - SSD 256 Go - 8 Go AZERTY - Français",575.0,dell-latitude-e5470-14-core-i5-24-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/boutique-82/393168.html,1183392,Dell,12.0,14,256,8,Latitude E5470,"2,4",Intel Core i5,SSD,2016,AZERTY - Français,"Dell Latitude E5470 14"" Core i5 2,4 GHz - SSD 256 Go - 8 Go AZERTY - Français"
